Campaign_ID,Influencer_Category,Category,Platform,Campaign_Type,Budget_Allocated,Amount_Spent,Revenue_Generated,ROI,Conversions,Estimated_Reach,Impressions
CAMP_0040,Tech,Tech,YouTube,Influencer Reel Collaboration,3938.54,4083.15,14692.86,2.5984,283,91069,90254
CAMP_0041,Food,Food,Instagram,Influencer Reel Collaboration,3716.57,3769.14,15317.89,3.064,194,64994,76295
CAMP_0042,Food,Food,TikTok,Influencer Sponsored Post,542.89,512.28,1582.3,2.0887,40,9064,9328
CAMP_0043,Food,Food,Instagram,Influencer Brand Ambassador,10686.89,11153.44,23840.73,1.1375,468,898539,1189950
CAMP_0044,Fitness,Fitness,Instagram,Influencer Story Campaign,16718.5,15468.52,53739.11,2.4741,2012,793414,772069
CAMP_0045,Fitness,Fitness,TikTok,Influencer Story Campaign,578.85,574.98,2506.63,3.3595,37,3374,3095
CAMP_0046,Travel,Travel,Instagram,Influencer Story Campaign,28647.9,29815.45,87021.92,1.9187,1535,1530812,2197661
CAMP_0047,Food,Food,YouTube,Influencer Story Campaign,752.49,716.05,2732.31,2.8158,43,11776,16060
CAMP_0048,Travel,Travel,Instagram,Influencer Brand Ambassador,3646.09,3594.22,10493.4,1.9195,239,21038,29341
CAMP_0049,Food,Food,Instagram,Influencer Reel Collaboration,70846.81,71693.44,121319.5,0.6922,1553,8813146,8716709
CAMP_0050,Travel,Travel,YouTube,Influencer Reel Collaboration,3924.1,3774.59,13470.4,2.5687,349,47179,68609
CAMP_0051,Tech,Tech,YouTube,Influencer Story Campaign,13547.74,13131.4,54019.69,3.1138,1543,810646,768884
CAMP_0052,Tech,Tech,Instagram,Influencer Brand Ambassador,15517.76,15397.54,52466.72,2.4075,982,399688,373204
CAMP_0053,Fashion,Fashion,YouTube,Influencer Reel Collaboration,1961.3,1969.08,5597.56,1.8427,185,74402,71062
CAMP_0054,Lifestyle,Lifestyle,Instagram,Influencer Brand Ambassador,10535.31,10419.63,29654.59,1.846,612,690358,912760
CAMP_0055,Tech,Tech,Instagram,Influencer Reel Collaboration,2005.61,2033.22,7529.23,2.7031,97,27814,35688
CAMP_0056,Fashion,Fashion,Instagram,Influencer Reel Collaboration,3358.35,3350.23,14471.84,3.3197,183,80765,111685
CAMP_0057,Tech,Tech,Instagram,Influencer Brand Ambassador,211.32,197.89,919.11,3.6446,22,10251,14975
CAMP_0058,Lifestyle,Lifestyle,YouTube,Influencer Sponsored Post,13610.96,13369.13,38001.89,1.8425,868,602198,888752
CAMP_0059,Tech,Tech,YouTube,Influencer Sponsored Post,11010.61,10955.7,34506.5,2.1496,495,187680,274836
CAMP_0060,Fitness,Fitness,Instagram,Influencer Sponsored Post,2664.7,2725.45,9599.45,2.5222,256,90135,105079
CAMP_0061,Food,Food,YouTube,Influencer Brand Ambassador,19850.47,19729.82,77961.06,2.9514,2559,430214,573869
CAMP_0062,Lifestyle,Lifestyle,Instagram,Influencer Brand Ambassador,7355.86,7295.24,23505.47,2.222,699,292256,317378
CAMP_0063,Lifestyle,Lifestyle,TikTok,Influencer Reel Collaboration,1925.9,1842.61,6467.38,2.5099,170,104662,103111
CAMP_0064,Lifestyle,Lifestyle,TikTok,Influencer Story Campaign,3178.25,2985.55,9752.25,2.2665,246,96886,87155
CAMP_0065,Fitness,Fitness,Instagram,Influencer Brand Ambassador,4296.96,4198.52,14208.66,2.3842,301,49828,49358
CAMP_0066,Travel,Travel,YouTube,Influencer Reel Collaboration,231.89,235.48,879.49,2.7349,15,8578,7017
CAMP_0067,Fashion,Fashion,TikTok,Influencer Sponsored Post,73782.53,73407.13,180066.1,1.453,3363,5621644,6237554
CAMP_0068,Tech,Tech,Instagram,Influencer Reel Collaboration,2966.9,2910.83,10833.1,2.7217,228,23959,24551
CAMP_0069,Fitness,Fitness,Instagram,Influencer Brand Ambassador,2981.88,3109.73,12380.36,2.9812,247,98846,100838
CAMP_0070,Tech,Tech,Instagram,Influencer Reel Collaboration,17373.91,17469.39,47621.7,1.726,868,111206,121133
CAMP_0071,Fashion,Fashion,TikTok,Influencer Brand Ambassador,2993.97,3050.25,11601.38,2.8034,152,69939,77400
CAMP_0072,Lifestyle,Lifestyle,YouTube,Influencer Sponsored Post,704.02,712.66,3095.83,3.344,73,5420,4387
CAMP_0073,Food,Food,Instagram,Influencer Story Campaign,93034.39,97045.84,214377.2,1.209,2809,8841810,8879857
CAMP_0074,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,19703.67,19297.42,50013.06,1.5917,1517,365570,341233
CAMP_0075,Travel,Travel,TikTok,Influencer Story Campaign,9143.71,9427.84,21552.11,1.286,542,938381,752389
CAMP_0076,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,11698.21,11287.21,39158.31,2.4693,707,617868,729332
CAMP_0077,Food,Food,Instagram,Influencer Story Campaign,39104.44,37163.42,88689.96,1.3865,1344,7525184,9735025
CAMP_0078,Food,Food,YouTube,Influencer Story Campaign,1148.08,1200.31,4065.79,2.3873,93,77836,67737
CAMP_0079,Food,Food,Instagram,Influencer Reel Collaboration,315.32,293.16,1175.42,3.0095,19,4029,4344
CAMP_0080,Fitness,Fitness,Instagram,Influencer Reel Collaboration,70143.93,72487.42,155758.64,1.1488,5774,9286400,7873887
CAMP_0081,Lifestyle,Lifestyle,Instagram,Influencer Story Campaign,11509.57,11726.5,32140.35,1.7408,941,213225,215277
CAMP_0082,Fitness,Fitness,Instagram,Influencer Brand Ambassador,9400.52,9174.81,26345.56,1.8715,685,503049,547536
CAMP_0083,Lifestyle,Lifestyle,Instagram,Influencer Story Campaign,687.59,687.98,2653.71,2.8572,80,7767,8720
CAMP_0084,Tech,Tech,YouTube,Influencer Brand Ambassador,18483.63,19170.43,81328.81,3.2424,1306,597853,544394
CAMP_0085,Food,Food,Instagram,Influencer Brand Ambassador,2697.24,2641.65,7830.0,1.9641,108,44780,39167
CAMP_0086,Food,Food,TikTok,Influencer Brand Ambassador,4970.77,4587.29,23654.16,4.1565,334,50696,54602
CAMP_0087,Fitness,Fitness,TikTok,Influencer Sponsored Post,79613.77,81273.42,210977.3,1.5959,5695,5901541,5506683
CAMP_0088,Tech,Tech,Instagram,Influencer Sponsored Post,71707.25,73322.05,251382.89,2.4285,9367,6283033,6631131
CAMP_0089,Fashion,Fashion,Instagram,Influencer Brand Ambassador,2662.01,2494.78,6177.78,1.4763,113,38318,55156
CAMP_0090,Fashion,Fashion,Instagram,Influencer Reel Collaboration,43611.32,44681.99,95432.66,1.1358,1880,6782698,5783671
CAMP_0091,Fashion,Fashion,YouTube,Influencer Brand Ambassador,515.66,510.38,1752.79,2.4343,28,5832,7052
CAMP_0092,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,12072.15,12494.08,37339.05,1.9885,668,759641,1094398
CAMP_0093,Fashion,Fashion,Instagram,Influencer Reel Collaboration,44175.21,41311.24,105299.58,1.5489,1319,7950067,7006269
CAMP_0094,Fashion,Fashion,TikTok,Influencer Story Campaign,2484.05,2510.24,9224.72,2.6748,168,109404,132503
CAMP_0095,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,17505.4,17033.72,49580.47,1.9107,1092,755558,838947
CAMP_0096,Fashion,Fashion,Instagram,Influencer Sponsored Post,49386.8,47738.64,114343.12,1.3952,2438,11918398,11118268
CAMP_0097,Fitness,Fitness,YouTube,Influencer Sponsored Post,14625.57,15301.89,52869.05,2.4551,665,736152,994456
CAMP_0098,Fashion,Fashion,Instagram,Influencer Story Campaign,4252.21,4093.66,15419.45,2.7667,465,42539,60846
CAMP_0099,Fitness,Fitness,Instagram,Influencer Story Campaign,63217.24,59063.26,156803.87,1.6548,3507,4027575,5444886
CAMP_0100,Travel,Travel,Instagram,Influencer Sponsored Post,241.92,239.11,832.58,2.482,12,8397,9516
CAMP_0101,Tech,Tech,TikTok,Influencer Sponsored Post,1886.2,1745.94,7310.84,3.1873,136,92623,103796
CAMP_0102,Fitness,Fitness,Instagram,Influencer Reel Collaboration,11394.1,11208.77,24499.58,1.1858,326,223206,190047
CAMP_0103,Fitness,Fitness,Instagram,Influencer Story Campaign,420.01,418.37,1722.09,3.1162,29,11872,11948
CAMP_0104,Travel,Travel,TikTok,Influencer Reel Collaboration,761.42,771.86,2494.44,2.2317,67,10533,11755
CAMP_0105,Fashion,Fashion,YouTube,Influencer Brand Ambassador,10980.95,10238.21,24403.97,1.3836,535,875054,793540
CAMP_0106,Food,Food,Instagram,Influencer Sponsored Post,6398.45,6505.92,20725.21,2.1856,455,211255,188245
CAMP_0107,Fitness,Fitness,TikTok,Influencer Brand Ambassador,11162.13,11234.62,34508.46,2.0716,533,1026043,1516367
CAMP_0108,Travel,Travel,Instagram,Influencer Brand Ambassador,605.93,609.19,1677.86,1.7542,44,4035,3533
CAMP_0109,Travel,Travel,Instagram,Influencer Sponsored Post,13611.5,13281.89,26525.5,0.9971,448,956432,1217044
CAMP_0110,Travel,Travel,Instagram,Influencer Brand Ambassador,418.62,435.28,1468.08,2.3727,33,6562,6082
CAMP_0111,Fashion,Fashion,TikTok,Influencer Reel Collaboration,792.78,738.81,2697.26,2.6508,53,2002,1822
CAMP_0112,Tech,Tech,Instagram,Influencer Sponsored Post,7333.7,7336.04,23231.61,2.1668,374,901083,892497
CAMP_0113,Lifestyle,Lifestyle,YouTube,Influencer Reel Collaboration,2656.73,2704.93,10171.05,2.7602,250,40255,51322
CAMP_0114,Food,Food,TikTok,Influencer Brand Ambassador,516.21,478.59,2035.36,3.2528,56,11319,16545
CAMP_0115,Fashion,Fashion,Instagram,Influencer Brand Ambassador,1030.92,1006.16,4046.76,3.022,107,109912,130916
CAMP_0116,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,3968.17,3660.38,13919.04,2.8026,183,69176,97086
CAMP_0117,Travel,Travel,YouTube,Influencer Reel Collaboration,11265.41,10957.35,32654.63,1.9802,423,230768,258937
CAMP_0118,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,1423.45,1418.54,4740.4,2.3417,88,69104,74427
CAMP_0119,Tech,Tech,Instagram,Influencer Story Campaign,1672.53,1676.41,6219.45,2.71,91,78910,82521
CAMP_0120,Lifestyle,Lifestyle,Instagram,Influencer Story Campaign,404.77,404.09,1512.72,2.7435,22,4342,5465
CAMP_0121,Fashion,Fashion,YouTube,Influencer Reel Collaboration,16398.16,16538.32,57164.2,2.4565,721,580711,595952
CAMP_0122,Lifestyle,Lifestyle,Instagram,Influencer Story Campaign,2875.68,2758.83,8177.08,1.964,203,94756,79530
CAMP_0123,Travel,Travel,Instagram,Influencer Brand Ambassador,1150.43,1182.78,4821.96,3.0768,66,60331,74237
CAMP_0124,Travel,Travel,YouTube,Influencer Reel Collaboration,4816.93,4992.57,18457.38,2.697,371,108851,148785
CAMP_0125,Lifestyle,Lifestyle,Instagram,Influencer Brand Ambassador,3005.47,2941.06,10942.42,2.7206,138,20109,17274
CAMP_0126,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,550.21,543.68,1633.48,2.0045,27,8699,9175
CAMP_0127,Tech,Tech,YouTube,Influencer Reel Collaboration,15183.47,15526.61,48909.78,2.1501,1619,164909,210236
CAMP_0128,Tech,Tech,Instagram,Influencer Story Campaign,3330.96,3461.46,13386.27,2.8672,318,30537,38453
CAMP_0129,Lifestyle,Lifestyle,YouTube,Influencer Story Campaign,4752.01,4717.13,14863.07,2.1509,464,52577,67928
CAMP_0130,Lifestyle,Lifestyle,TikTok,Influencer Sponsored Post,2693.63,2484.52,7664.81,2.085,182,59425,87106
CAMP_0131,Tech,Tech,YouTube,Influencer Story Campaign,310.05,297.17,1375.03,3.6271,25,2764,3640
CAMP_0132,Travel,Travel,Instagram,Influencer Brand Ambassador,14270.47,13827.71,30276.71,1.1896,892,736258,1017465
CAMP_0133,Travel,Travel,Instagram,Influencer Reel Collaboration,491.44,514.07,1584.6,2.0825,23,5391,5195
CAMP_0134,Fashion,Fashion,Instagram,Influencer Reel Collaboration,35521.29,37225.5,72536.19,0.9486,1439,10670049,10640601
CAMP_0135,Food,Food,TikTok,Influencer Reel Collaboration,85351.3,80058.82,189338.07,1.365,2590,11244569,13360555
CAMP_0136,Fitness,Fitness,TikTok,Influencer Sponsored Post,4052.47,3964.98,17462.88,3.4043,328,47755,65984
CAMP_0137,Fitness,Fitness,Instagram,Influencer Reel Collaboration,18957.08,17571.76,48147.0,1.74,604,545050,579082
CAMP_0138,Fitness,Fitness,Instagram,Influencer Sponsored Post,14749.41,13849.5,42460.33,2.0658,1566,939822,1355389
CAMP_0139,Food,Food,Instagram,Influencer Reel Collaboration,1021.0,941.84,3366.93,2.5748,43,22384,27447
CAMP_0140,Food,Food,Instagram,Influencer Brand Ambassador,297.48,289.92,1214.81,3.1902,17,5406,6054
CAMP_0141,Fitness,Fitness,YouTube,Influencer Sponsored Post,3300.19,3097.77,9909.27,2.1988,259,106181,115906
CAMP_0142,Lifestyle,Lifestyle,Instagram,Influencer Brand Ambassador,620.85,634.65,2581.34,3.0673,48,9812,7989
CAMP_0143,Food,Food,Instagram,Influencer Reel Collaboration,40292.02,38939.1,103952.53,1.6696,1700,1372499,1197594
CAMP_0144,Travel,Travel,Instagram,Influencer Story Campaign,636.81,654.61,2486.0,2.7977,39,4368,6493
CAMP_0145,Food,Food,Instagram,Influencer Story Campaign,820.95,759.22,3172.41,3.1785,43,8998,9186
CAMP_0146,Tech,Tech,TikTok,Influencer Reel Collaboration,63442.46,58669.09,198584.09,2.3848,3278,5349899,5351384
CAMP_0147,Fitness,Fitness,Instagram,Influencer Brand Ambassador,494.42,502.64,2297.54,3.5709,29,8053,9239
CAMP_0148,Food,Food,Instagram,Influencer Brand Ambassador,15906.22,15524.14,40618.84,1.6165,509,192760,178557
CAMP_0149,Tech,Tech,Instagram,Influencer Sponsored Post,728.74,712.69,3168.03,3.4452,64,6521,7257
CAMP_0150,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,4920.11,4574.5,14335.9,2.1339,238,19518,20578
CAMP_0151,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,686.06,634.28,2862.29,3.5127,63,8679,9269
CAMP_0152,Travel,Travel,Instagram,Influencer Story Campaign,19232.35,18803.7,56981.62,2.0303,1949,500084,448268
CAMP_0153,Tech,Tech,YouTube,Influencer Brand Ambassador,1998.45,1845.31,7773.46,3.2125,103,26869,23710
CAMP_0154,Tech,Tech,YouTube,Influencer Story Campaign,42846.15,40533.45,126674.43,2.1252,3901,9340971,7956979
CAMP_0155,Fashion,Fashion,YouTube,Influencer Sponsored Post,19513.42,19646.49,55736.82,1.837,1360,445112,449549
CAMP_0156,Fashion,Fashion,Instagram,Influencer Brand Ambassador,1485.45,1519.57,4694.86,2.0896,123,38342,43932
CAMP_0157,Tech,Tech,TikTok,Influencer Brand Ambassador,4932.05,4929.85,21354.63,3.3317,267,29009,37804
CAMP_0158,Travel,Travel,YouTube,Influencer Reel Collaboration,6106.26,6127.66,17829.05,1.9096,358,442427,564570
CAMP_0159,Tech,Tech,Instagram,Influencer Story Campaign,6935.49,7201.76,24974.35,2.4678,747,637290,583286
CAMP_0160,Tech,Tech,Instagram,Influencer Brand Ambassador,61511.82,63355.41,171316.59,1.7041,4417,5865539,7299897
CAMP_0161,Travel,Travel,Instagram,Influencer Story Campaign,3457.71,3407.0,12962.8,2.8048,387,24245,30575
CAMP_0162,Lifestyle,Lifestyle,TikTok,Influencer Brand Ambassador,13454.27,13888.73,51880.59,2.7354,1760,975322,1427854
CAMP_0163,Travel,Travel,Instagram,Influencer Story Campaign,11248.8,10393.18,32667.88,2.1432,541,780030,788973
CAMP_0164,Fashion,Fashion,YouTube,Influencer Brand Ambassador,3754.45,3668.66,12022.2,2.277,232,32719,30848
CAMP_0165,Travel,Travel,Instagram,Influencer Brand Ambassador,9789.75,9446.11,19817.68,1.098,371,1012590,885336
CAMP_0166,Fashion,Fashion,YouTube,Influencer Sponsored Post,1991.68,1845.45,7552.04,3.0922,98,24689,34685
CAMP_0167,Food,Food,Instagram,Influencer Story Campaign,19006.27,18258.43,53561.53,1.9335,1004,866157,995328
CAMP_0168,Tech,Tech,YouTube,Influencer Sponsored Post,514.59,538.09,2137.99,2.9733,58,8991,9413
CAMP_0169,Fitness,Fitness,Instagram,Influencer Reel Collaboration,4371.4,4289.11,12484.97,1.9109,256,100148,141981
CAMP_0170,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,2602.33,2584.21,8271.28,2.2007,184,86747,86922
CAMP_0171,Food,Food,TikTok,Influencer Reel Collaboration,9195.81,9273.53,35124.81,2.7876,752,763516,1035654
CAMP_0172,Tech,Tech,TikTok,Influencer Brand Ambassador,7985.87,7763.71,31679.12,3.0804,1164,643853,532620
CAMP_0173,Lifestyle,Lifestyle,Instagram,Influencer Reel Collaboration,1595.76,1497.1,5626.14,2.758,120,79568,97991
CAMP_0174,Tech,Tech,TikTok,Influencer Brand Ambassador,3038.86,3075.74,11796.3,2.8353,284,76205,104478
CAMP_0175,Tech,Tech,Instagram,Influencer Sponsored Post,66696.17,61591.52,90181.55,0.4642,1325,11657239,15659325
CAMP_0176,Travel,Travel,Instagram,Influencer Sponsored Post,1682.05,1705.18,5911.72,2.4669,87,94447,100693
CAMP_0177,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,3802.08,3507.27,11572.35,2.2995,183,37006,40235
CAMP_0178,Travel,Travel,YouTube,Influencer Sponsored Post,12780.25,12297.88,36248.06,1.9475,590,698132,815302
CAMP_0179,Tech,Tech,Instagram,Influencer Reel Collaboration,47386.16,47758.75,147247.11,2.0831,2127,7043949,6938666
CAMP_0180,Food,Food,Instagram,Influencer Story Campaign,2194.0,2238.43,6754.43,2.0175,105,51008,65451
CAMP_0181,Food,Food,Instagram,Influencer Reel Collaboration,4734.8,4524.34,18130.97,3.0074,395,106589,158403
CAMP_0182,Tech,Tech,Instagram,Influencer Brand Ambassador,964.25,930.53,4623.48,3.9687,93,2794,2736
CAMP_0183,Food,Food,Instagram,Influencer Story Campaign,9066.99,9162.21,30188.05,2.2948,527,699318,678143
CAMP_0184,Lifestyle,Lifestyle,TikTok,Influencer Story Campaign,1209.96,1165.12,4512.09,2.8726,88,66172,84490
CAMP_0185,Fashion,Fashion,Instagram,Influencer Story Campaign,4740.13,4655.13,18630.74,3.0022,436,74350,93095
CAMP_0186,Fitness,Fitness,TikTok,Influencer Story Campaign,3892.47,4043.19,19657.55,3.8619,567,16888,23939
CAMP_0187,Fashion,Fashion,Instagram,Influencer Reel Collaboration,7794.67,8146.03,30980.55,2.8031,1214,895386,1072290
CAMP_0188,Fitness,Fitness,Instagram,Influencer Brand Ambassador,3565.25,3508.95,11745.64,2.3473,153,80723,112668
CAMP_0189,Food,Food,Instagram,Influencer Story Campaign,9960.26,9757.66,28071.02,1.8768,428,876634,1186556
CAMP_0190,Travel,Travel,Instagram,Influencer Story Campaign,3554.9,3652.69,13034.88,2.5686,244,65148,56073
CAMP_0191,Lifestyle,Lifestyle,Instagram,Influencer Story Campaign,58196.33,53592.3,103735.72,0.9356,2613,5261539,5423266
CAMP_0192,Travel,Travel,TikTok,Influencer Sponsored Post,2438.21,2262.84,8162.22,2.6071,259,42972,43606
CAMP_0193,Food,Food,TikTok,Influencer Brand Ambassador,14580.67,13973.46,37058.94,1.6521,1145,1096327,994620
CAMP_0194,Lifestyle,Lifestyle,TikTok,Influencer Brand Ambassador,3196.94,3255.94,10390.52,2.1913,150,73712,101569
CAMP_0195,Fashion,Fashion,TikTok,Influencer Sponsored Post,3112.69,2895.28,10110.91,2.4922,183,59419,68560
CAMP_0196,Travel,Travel,TikTok,Influencer Story Campaign,883.59,826.25,2971.99,2.597,81,8739,10558
CAMP_0197,Fitness,Fitness,TikTok,Influencer Reel Collaboration,11801.48,11494.7,29198.01,1.5401,470,648179,658367
CAMP_0198,Fitness,Fitness,YouTube,Influencer Brand Ambassador,16187.07,15045.78,42805.17,1.845,886,716403,924352
CAMP_0199,Travel,Travel,Instagram,Influencer Sponsored Post,57765.7,56214.85,130766.23,1.3262,1659,5916582,7408250
CAMP_0200,Food,Food,Instagram,Influencer Reel Collaboration,4668.46,4522.96,12477.36,1.7587,199,61479,77663
CAMP_0201,Travel,Travel,Instagram,Influencer Brand Ambassador,994.28,983.09,3554.56,2.6157,141,7939,6477
CAMP_0202,Tech,Tech,YouTube,Influencer Reel Collaboration,4293.44,4207.06,15497.42,2.6837,462,44441,41416
CAMP_0203,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,11288.61,11759.47,35936.97,2.056,1252,913265,1110311
CAMP_0204,Food,Food,TikTok,Influencer Sponsored Post,235.39,223.73,833.53,2.7256,22,8691,12207
CAMP_0205,Fitness,Fitness,Instagram,Influencer Brand Ambassador,933.12,897.16,3293.37,2.6709,77,10938,11060
CAMP_0206,Fashion,Fashion,TikTok,Influencer Story Campaign,2100.62,2191.59,7126.88,2.2519,97,84970,122195
CAMP_0207,Lifestyle,Lifestyle,YouTube,Influencer Reel Collaboration,475.53,486.07,1752.06,2.6045,52,7744,8235
CAMP_0208,Travel,Travel,YouTube,Influencer Story Campaign,9511.05,8928.65,27983.19,2.1341,554,851948,715923
CAMP_0209,Food,Food,YouTube,Influencer Story Campaign,2019.98,2028.2,8701.15,3.2901,289,55288,72272
CAMP_0210,Fashion,Fashion,Instagram,Influencer Brand Ambassador,3419.88,3534.69,11419.04,2.2306,323,17183,22908
CAMP_0211,Lifestyle,Lifestyle,TikTok,Influencer Story Campaign,4477.9,4296.16,15728.62,2.6611,443,55642,73393
CAMP_0212,Lifestyle,Lifestyle,YouTube,Influencer Story Campaign,15556.53,16162.71,42540.01,1.632,768,525898,706207
CAMP_0213,Food,Food,YouTube,Influencer Brand Ambassador,2438.58,2391.22,8978.37,2.7547,134,77179,79043
CAMP_0214,Fashion,Fashion,Instagram,Influencer Brand Ambassador,3250.1,3303.28,9773.92,1.9589,377,41002,48682
CAMP_0215,Travel,Travel,TikTok,Influencer Reel Collaboration,1784.77,1730.12,6132.82,2.5447,100,42149,53925
CAMP_0216,Tech,Tech,YouTube,Influencer Reel Collaboration,3931.09,3703.1,13115.12,2.5417,202,58160,66408
CAMP_0217,Travel,Travel,Instagram,Influencer Sponsored Post,6114.96,6156.96,16942.42,1.7518,237,967730,930959
CAMP_0218,Lifestyle,Lifestyle,Instagram,Influencer Sponsored Post,564.81,564.99,1885.85,2.3378,30,2490,3066
CAMP_0219,Food,Food,YouTube,Influencer Sponsored Post,641.31,591.4,2272.81,2.8431,55,1694,1950
CAMP_0220,Lifestyle,Lifestyle,YouTube,Influencer Story Campaign,277.05,263.56,856.84,2.251,14,3939,3847
CAMP_0221,Tech,Tech,Instagram,Influencer Reel Collaboration,967.44,961.1,4633.84,3.8214,73,9020,12569
